Transaction_ID,Date,Customer_ID,Customer_Age,Customer_Gender,Product_Category,Quantity,Unit_Price,Total_Amount,Payment_Method,Customer_Rating
TX11094,2025-12-30,CUST1643,20,Male,Clothing,1,54.6,54.6,Debit Card,3
TX10259,2025-06-27,CUST1099,18,Male,Electronics,6,400.33,2401.98,Credit Card,3
TX10078,2026-03-10,CUST1925,68,Male,Books,3,36.36,109.08,Debit Card,3
TX10002,2025-05-09,CUST1642,57,Male,Electronics,2,271.44,542.88,Cash,2
TX10934,2025-11-22,CUST1661,50,Male,Home & Kitchen,7,284.43,1991.01,PayPal,3
TX10426,2025-03-06,CUST1040,59,Unknown,Clothing,6,328.33,1969.98,Cash,1
TX10473,2025-11-11,CUST1316,39,Female,Clothing,1,410.19,410.19,PayPal,1
TX10210,2025-09-15,CUST1807,21,Male,Books,3,98.1,294.3,Credit Card,5
TX10787,2025-10-31,CUST1451,47,Female,Clothing,9,401.48,3613.32,Debit Card,3
TX11007,2025-03-29,CUST1034,67,Female,Clothing,14,34.87,488.18,PayPal,4
TX10007,2026-03-08,CUST1593,48,Female,Clothing,7,276.4,1934.8,Credit Card,3
TX10852,2026-02-27,CUST1373,41,Male,Electronics,6,274.11,1644.66,Debit Card,5
TX10622,2025-02-11,CUST1749,25,Male,Books,3,267.29,801.87,Credit Card,4
TX10009,2025-11-25,CUST1134,60,Male,Electronics,8,137.96,1103.68,Cash,5
TX10066,2025-11-30,CUST1092,39,Male,Electronics,6,415.77,2494.62,E-Wallet,3
TX10495,2026-01-28,CUST1931,58,Female,Clothing,10,263.02,2630.2,Unknown,4
TX10367,2025-11-13,CUST1302,46,Unknown,Unknown,7,78.46,549.22,Credit Card,1
TX10023,2025-09-12,CUST1334,41,Male,Electronics,4,352.4,1409.6,Cash,3
TX11148,2025-11-25,CUST1765,20,Male,Electronics,3,82.43,247.29,Credit Card,4
TX10790,2025-09-05,CUST1425,49,Female,Books,6,216.84,1301.04,Cash,1
TX11142,2026-02-17,CUST1179,63,Female,Clothing,4,49.28,197.12,Debit Card,4
TX10560,2025-06-02,CUST1205,44,Male,Clothing,5,235.84,1179.2,PayPal,5
TX10492,2025-02-07,CUST1135,57,Female,Home & Kitchen,1,496.45,496.45,Credit Card,3
TX10632,2025-08-30,CUST1805,25,Unknown,Home & Kitchen,8,259.98,2079.84,Credit Card,2
TX10009,2025-08-01,CUST1552,46,Male,Electronics,10,23.39,233.9,Unknown,3
TX10090,2025-08-30,CUST1897,70,Male,Clothing,6,21.86,131.16,PayPal,1
TX10731,2025-06-24,CUST1994,63,Unknown,Electronics,8,24.87,198.96,PayPal,1
TX10352,2025-06-10,CUST1374,66,Unknown,Clothing,2,381.2,762.4,Debit Card,3
TX10575,2026-01-11,CUST1543,58,Male,Electronics,6,297.06,1782.36,PayPal,4
TX10035,2025-07-24,CUST1513,55,Male,Books,3,103.31,309.93,Credit Card,4
TX10296,2026-01-25,CUST1935,46,Male,Books,2,254.8,509.6,PayPal,3
TX11038,2025-09-21,CUST1279,55,Male,Home & Kitchen,1,274.13,274.13,Credit Card,3
TX10164,2025-06-13,CUST1850,46,Unknown,Home & Kitchen,7,259.98,1819.86,Cash,3
TX10607,2025-08-27,CUST1168,46,Male,Books,8,306.39,2451.12,Debit Card,3
TX10750,2025-05-17,CUST1263,21,Male,Home & Kitchen,2,494.32,988.64,Credit Card,4
TX10534,2025-05-07,CUST1935,45,Unknown,Books,5,339.37,1696.85,PayPal,1
TX10212,2025-08-30,CUST1844,48,Female,Clothing,9,256.97,2312.73,Cash,3
TX10054,2025-05-29,CUST1966,46,Male,Books,10,153.15,1531.5,Credit Card,1
TX10286,2026-03-19,CUST1493,29,Female,Clothing,9,277.43,2496.87,Cash,3
TX10784,2025-05-08,CUST1990,26,Male,Electronics,8,337.39,2699.12,Cash,5
TX11147,2026-02-21,CUST1825,60,Male,Books,1,150.72,150.72,Cash,3
TX11124,2025-10-23,CUST1302,38,Male,Books,7,386.31,2704.17,Unknown,3
TX10540,2025-04-08,CUST1764,42,Male,Clothing,1,413.93,413.93,PayPal,5
TX11130,2025-09-13,CUST1891,56,Male,Home & Kitchen,9,314.61,2831.49,PayPal,3
TX10684,2025-09-13,CUST1346,66,Male,Clothing,8,195.93,1567.44,Credit Card,3
TX10591,2025-09-12,CUST1823,43,Male,Electronics,2,223.0,446.0,Cash,1
TX10602,2025-02-16,CUST1117,46,Male,Home & Kitchen,5,303.61,1518.05,PayPal,1
TX10049,2025-09-16,CUST1479,26,Male,Unknown,10,138.03,1380.3,PayPal,3
TX10015,2025-05-04,CUST1986,56,Female,Electronics,2,179.22,358.44,PayPal,3
TX10916,2025-10-26,CUST1077,65,Male,Electronics,6,187.12,1122.72,Credit Card,3
TX11041,2025-01-25,CUST1144,62,Female,Home & Kitchen,6,269.72,1618.32,Unknown,3
TX10300,2025-05-25,CUST1772,38,Male,Clothing,4,285.87,1143.48,PayPal,3
TX10545,2025-11-02,CUST1989,53,Unknown,Electronics,4,83.14,332.56,Credit Card,2
TX10762,2025-05-27,CUST_UNKNOWN,30,Male,Electronics,6,121.64,729.84,PayPal,1
TX10420,2026-03-10,CUST1880,63,Male,Electronics,2,334.05,668.1,PayPal,4
TX10584,2025-08-09,CUST1692,40,Male,Books,8,412.57,3300.56,Cash,3
TX10015,2025-05-16,CUST1741,46,Female,Home & Kitchen,5,193.91,969.55,PayPal,3
TX11061,2026-01-27,CUST1690,46,Female,Home & Kitchen,6,259.98,1559.88,PayPal,1
TX10263,2025-07-07,CUST1406,46,Female,Unknown,8,35.99,287.92,E-Wallet,3
TX10800,2025-08-30,CUST1990,62,Male,Home & Kitchen,10,210.99,2109.9,Cash,3
TX10397,2025-10-19,CUST1866,63,Male,Clothing,1,283.55,283.55,E-Wallet,2
TX10823,2025-07-05,CUST1823,40,Female,Books,3,395.4,1186.2,Credit Card,4
TX10830,2025-02-07,CUST1570,55,Female,Clothing,1,315.96,315.96,PayPal,4
TX10915,2025-09-16,CUST1374,60,Male,Electronics,6,469.91,2819.46,PayPal,3
TX11065,2026-01-27,CUST1092,46,Female,Electronics,5,100.54,502.7,Credit Card,5
TX10189,2026-02-27,CUST1809,52,Unknown,Clothing,3,141.23,423.69,Cash,1
TX10294,2025-03-07,CUST1404,45,Male,Unknown,5,69.98,349.9,E-Wallet,1
TX10325,2025-07-21,CUST1014,51,Male,Books,8,419.1,3352.8,Cash,3
TX10998,2026-02-11,CUST1270,42,Male,Electronics,3,282.34,847.02,E-Wallet,5
TX10886,2025-10-13,CUST1549,60,Male,Clothing,3,12.44,37.32,Unknown,3
TX10647,2026-01-22,CUST1126,35,Male,Electronics,5,245.12,1225.6,E-Wallet,3
TX10439,2025-04-12,CUST1465,28,Male,Electronics,5,96.95,484.75,PayPal,5
TX10763,2025-09-14,CUST1377,46,Unknown,Clothing,1,263.02,263.02,Debit Card,4
TX10617,2025-01-24,CUST1688,21,Female,Clothing,10,262.68,2626.8,Unknown,2
TX11037,2025-03-12,CUST1766,36,Female,Clothing,10,263.02,2630.2,PayPal,1
TX10072,2026-02-16,CUST1688,52,Male,Home & Kitchen,6,41.44,248.64,PayPal,2
TX10458,2025-09-23,CUST1268,70,Female,Clothing,9,85.88,772.92,Credit Card,2
TX10192,2025-03-18,CUST1598,57,Male,Home & Kitchen,10,351.36,3513.6,Debit Card,2
TX11012,2025-06-17,CUST1390,65,Unknown,Books,6,154.62,927.72,Cash,3
TX10021,2025-03-25,CUST1842,32,Male,Books,6,290.0,1740.0,Cash,5
TX10202,2025-11-12,CUST1653,53,Male,Electronics,9,245.12,2206.08,Cash,3
TX10979,2025-10-31,CUST1962,50,Male,Books,6,87.71,526.26,E-Wallet,5
TX10834,2025-09-17,CUST1380,69,Male,Electronics,8,215.7,1725.6,Credit Card,3
TX10034,2025-12-29,CUST1110,46,Female,Home & Kitchen,9,259.98,2339.82,PayPal,3
TX10055,2025-09-01,CUST1691,42,Unknown,Electronics,8,268.88,2151.04,Cash,3
TX10261,2025-07-08,CUST1239,68,Female,Books,1,161.7,161.7,Cash,3
TX10187,2025-12-11,CUST1482,46,Female,Home & Kitchen,2,50.26,100.52,Debit Card,5
TX11031,2025-08-02,CUST1025,46,Female,Home & Kitchen,5,412.8,2064.0,Credit Card,2
TX10814,2026-02-12,CUST1634,34,Female,Home & Kitchen,3,491.28,1473.84,E-Wallet,1
TX10892,2025-11-02,CUST1905,67,Unknown,Clothing,2,183.79,367.58,Cash,2
TX10185,2025-05-16,CUST1965,46,Female,Books,6,381.25,2287.5,PayPal,1
TX10716,2026-01-05,CUST1574,58,Male,Books,10,30.74,307.4,Credit Card,3
TX10107,2025-10-26,CUST1335,59,Female,Books,6,122.25,733.5,Credit Card,4
TX11023,2025-03-29,CUST1937,55,Female,Clothing,6,176.57,1059.42,PayPal,3
TX10179,2025-08-30,CUST1624,56,Male,Books,9,153.98,1385.82,Cash,5
TX11108,2025-01-17,CUST1226,64,Male,Unknown,4,322.38,1289.52,Cash,1
TX10021,2025-04-08,CUST1663,46,Female,Books,1,51.46,51.46,PayPal,4
TX10235,2025-08-14,CUST1064,61,Female,Clothing,2,211.48,422.96,Cash,3
TX10195,2025-08-03,CUST1650,29,Male,Home & Kitchen,6,152.39,914.34,PayPal,3
TX10571,2025-07-31,CUST1843,25,Male,Books,9,409.21,3682.89,Credit Card,3
TX10678,2025-07-30,CUST1475,45,Female,Home & Kitchen,6,459.85,2759.1,Credit Card,5
TX10702,2026-03-23,CUST1931,34,Male,Electronics,1,368.08,368.08,PayPal,2
TX10700,2025-12-28,CUST1717,55,Male,Electronics,9,282.48,2542.32,Credit Card,3
TX10269,2025-08-30,CUST1309,18,Female,Clothing,5,97.44,487.2,Cash,3
TX10385,2025-10-15,CUST1664,63,Male,Electronics,3,716.47,2149.41,Unknown,1
TX10631,2025-12-06,CUST1418,46,Female,Electronics,4,716.47,2865.88,Cash,3
TX10289,2025-09-27,CUST1119,46,Male,Clothing,8,40.15,321.2,PayPal,1
TX10807,2025-06-10,CUST1143,67,Male,Electronics,10,28.4,284.0,PayPal,2
TX10348,2025-08-24,CUST1046,46,Male,Books,5,38.19,190.95,E-Wallet,5
TX10524,2025-10-07,CUST1968,37,Unknown,Home & Kitchen,4,127.02,508.08,Cash,1
TX10100,2025-12-13,CUST1038,54,Unknown,Books,2,112.38,224.76,E-Wallet,3
TX10346,2025-08-30,CUST1311,22,Female,Clothing,6,183.98,1103.88,Cash,5
TX10820,2025-04-09,CUST1504,38,Female,Books,5,136.28,681.4,PayPal,4
TX10562,2025-05-23,CUST_UNKNOWN,29,Female,Clothing,4,357.35,1429.4,E-Wallet,2
TX10865,2025-04-26,CUST1099,68,Female,Electronics,10,118.72,1187.2,Cash,2
TX10858,2026-01-30,CUST1240,44,Male,Books,2,60.07,120.14,Cash,5
TX10423,2025-12-27,CUST1908,43,Unknown,Books,1,303.93,303.93,Credit Card,5
TX10018,2025-12-20,CUST1550,32,Male,Books,2,363.41,726.82,PayPal,4
TX10299,2025-06-12,CUST1138,46,Unknown,Unknown,2,276.75,553.5,Credit Card,3
TX10058,2025-06-28,CUST1397,41,Female,Books,8,107.32,858.56,Credit Card,5
TX10298,2025-08-30,CUST1464,66,Male,Clothing,9,319.13,2872.17,Debit Card,1
TX10603,2025-10-21,CUST1379,48,Female,Electronics,10,116.22,1162.2,Debit Card,2
TX10067,2025-07-22,CUST1686,46,Female,Books,10,254.8,2548.0,Credit Card,5
TX10982,2026-01-31,CUST1972,46,Male,Home & Kitchen,7,442.37,3096.59,Unknown,2
TX10056,2025-05-29,CUST1760,60,Male,Books,2,364.45,728.9,Cash,5
TX10654,2025-05-28,CUST1713,33,Female,Clothing,8,263.02,2104.16,Unknown,4
TX10057,2025-06-27,CUST1968,57,Male,Books,4,257.39,1029.56,Cash,2
TX10063,2025-12-02,CUST1553,46,Male,Clothing,10,170.45,1704.5,Unknown,4
TX10805,2026-01-18,CUST1429,46,Male,Electronics,1,236.24,236.24,Cash,1
TX10483,2025-08-30,CUST1601,68,Female,Electronics,7,209.53,1466.71,Cash,3
TX10032,2026-02-28,CUST1760,46,Female,Books,8,433.37,3466.96,Unknown,3
TX11127,2025-10-15,CUST1744,64,Male,Clothing,6,15.23,91.38,PayPal,3
TX10246,2025-03-12,CUST_UNKNOWN,51,Female,Home & Kitchen,9,411.97,3707.73,E-Wallet,3
TX10387,2025-11-12,CUST1906,41,Female,Electronics,5,716.47,3582.35,Cash,1
TX10332,2025-05-05,CUST_UNKNOWN,50,Male,Books,9,391.53,3523.77,PayPal,3
TX10840,2025-12-09,CUST1670,20,Male,Home & Kitchen,5,72.67,363.35,Cash,1
TX10121,2025-11-23,CUST1101,59,Unknown,Home & Kitchen,9,462.92,4166.28,E-Wallet,5
TX10081,2025-01-27,CUST1853,50,Male,Books,8,254.8,2038.4,Credit Card,3
TX10011,2025-07-31,CUST1501,24,Female,Clothing,3,354.39,1063.17,E-Wallet,3
TX10442,2026-01-03,CUST1630,67,Female,Books,6,148.99,893.94,Credit Card,2
TX11117,2025-02-21,CUST1417,18,Unknown,Books,9,712.18,6409.62,Debit Card,5
TX10658,2025-01-03,CUST1961,31,Female,Clothing,3,213.6,640.8,Debit Card,4
TX10231,2025-07-28,CUST1974,67,Female,Clothing,7,314.32,2200.24,E-Wallet,3
TX10662,2025-09-02,CUST1286,61,Female,Home & Kitchen,2,190.27,380.54,PayPal,4
TX10008,2026-01-23,CUST1033,24,Unknown,Unknown,6,75.62,453.72,Credit Card,2
TX10842,2025-06-14,CUST1706,62,Female,Clothing,9,162.5,1462.5,E-Wallet,3
TX10067,2025-11-27,CUST1379,65,Male,Home & Kitchen,4,70.36,281.44,Cash,1
TX11132,2026-01-29,CUST1222,59,Male,Books,4,388.22,1552.88,Cash,3
TX10704,2025-11-30,CUST1454,22,Unknown,Electronics,9,274.22,2467.98,Credit Card,4
TX10581,2025-10-01,CUST1455,27,Female,Clothing,9,204.53,1840.77,PayPal,2
TX10536,2025-03-31,CUST1973,63,Female,Electronics,5,420.65,2103.25,PayPal,5
TX10401,2026-03-05,CUST_UNKNOWN,23,Male,Unknown,6,380.7,2284.2,Debit Card,5
TX10522,2025-01-19,CUST1875,29,Female,Clothing,3,93.59,280.77,E-Wallet,1
TX10860,2025-08-30,CUST1371,53,Male,Clothing,4,471.38,1885.52,Credit Card,2
TX10512,2025-04-06,CUST1101,70,Male,Clothing,3,257.87,773.61,Cash,5
TX10491,2026-03-25,CUST1702,34,Unknown,Clothing,6,231.13,1386.78,Cash,4
TX10148,2025-01-05,CUST1376,46,Female,Electronics,6,214.95,1289.7,PayPal,5
TX10525,2025-10-18,CUST1557,45,Unknown,Home & Kitchen,6,467.55,2805.3,Debit Card,5
TX10356,2025-06-21,CUST1923,42,Female,Unknown,7,430.07,3010.49,E-Wallet,3
TX10371,2025-08-21,CUST1660,46,Male,Electronics,5,264.64,1323.2,Cash,4
TX10457,2025-03-10,CUST1367,64,Unknown,Books,5,376.1,1880.5,Credit Card,4
TX10595,2025-08-30,CUST1062,66,Male,Home & Kitchen,5,318.93,1594.65,Cash,2
TX10363,2026-02-19,CUST1407,20,Male,Books,5,175.37,876.85,E-Wallet,1
TX10087,2025-06-19,CUST1282,22,Unknown,Home & Kitchen,6,203.79,1222.74,Unknown,2
TX10641,2026-01-10,CUST1194,46,Male,Clothing,6,397.46,2384.76,Debit Card,3
TX10706,2025-11-28,CUST1991,68,Female,Home & Kitchen,7,259.98,1819.86,Credit Card,3
TX10017,2026-01-03,CUST1125,46,Male,Clothing,7,263.02,1841.14,Debit Card,5
TX10034,2025-01-08,CUST1971,66,Unknown,Books,7,18.8,131.6,Credit Card,1
TX10827,2026-02-09,CUST1868,46,Male,Books,7,104.54,731.78,Debit Card,4
TX10153,2025-10-18,CUST1843,60,Unknown,Electronics,3,716.47,2149.41,Credit Card,3
TX10028,2025-03-31,CUST1465,28,Female,Electronics,6,201.39,1208.34,Debit Card,3
TX10404,2026-02-28,CUST1093,26,Male,Electronics,4,245.12,980.48,Debit Card,4
TX10657,2025-09-21,CUST1678,68,Male,Books,5,23.36,116.8,Cash,3
TX11034,2025-02-14,CUST1217,52,Unknown,Electronics,6,233.26,1399.56,PayPal,3
TX10482,2025-12-09,CUST1657,58,Unknown,Electronics,7,375.13,2625.91,PayPal,5
TX10996,2025-04-05,CUST1654,61,Female,Books,6,96.0,576.0,E-Wallet,3
TX11026,2025-09-02,CUST_UNKNOWN,68,Male,Books,4,449.77,1799.08,Credit Card,4
TX10920,2025-05-08,CUST1994,59,Unknown,Electronics,10,410.52,4105.2,PayPal,4
TX10510,2025-05-14,CUST1021,18,Male,Books,5,99.87,499.35,Debit Card,3
TX10976,2025-05-01,CUST_UNKNOWN,53,Male,Home & Kitchen,4,247.84,991.36,PayPal,4
TX10587,2025-08-30,CUST1805,20,Female,Books,8,217.99,1743.92,PayPal,2
TX10910,2025-06-18,CUST1341,46,Female,Books,6,452.18,2713.08,PayPal,2
TX10214,2025-10-26,CUST1249,53,Male,Unknown,1,492.12,492.12,Credit Card,3
TX10778,2025-05-14,CUST1128,46,Female,Clothing,7,152.3,1066.1,PayPal,3
TX10943,2025-12-21,CUST1805,65,Unknown,Home & Kitchen,8,259.98,2079.84,PayPal,3
TX10331,2025-02-01,CUST1578,40,Female,Home & Kitchen,10,281.72,2817.2,Credit Card,3
TX10898,2025-08-27,CUST1210,59,Male,Books,6,492.72,2956.32,Cash,2
TX10479,2025-03-23,CUST1070,27,Male,Electronics,6,177.88,1067.28,Cash,2
TX10057,2025-12-18,CUST1849,46,Unknown,Books,6,432.79,2596.74,Cash,3
TX10714,2025-12-20,CUST1783,34,Female,Unknown,5,370.96,1854.8,Credit Card,3
TX10666,2025-11-24,CUST1567,29,Female,Unknown,3,209.65,628.95,E-Wallet,4
TX10717,2025-07-08,CUST1212,54,Female,Home & Kitchen,2,326.12,652.24,Cash,5
TX10874,2025-04-23,CUST1600,66,Male,Books,7,70.83,495.81,Debit Card,4
TX10400,2025-09-02,CUST1221,46,Female,Books,3,191.58,574.74,PayPal,4
TX10937,2025-08-21,CUST1832,53,Male,Books,10,18.85,188.5,PayPal,2
TX10843,2025-08-30,CUST1890,60,Male,Books,2,258.63,517.26,PayPal,2
TX10938,2026-01-23,CUST1238,24,Male,Books,6,712.18,4273.08,Debit Card,1
TX10410,2026-01-26,CUST1336,55,Unknown,Clothing,5,151.78,758.9,Credit Card,5
TX10461,2025-12-15,CUST1792,39,Unknown,Home & Kitchen,5,468.13,2340.65,Credit Card,3
TX11096,2025-09-27,CUST1151,60,Female,Books,3,232.02,696.06,Credit Card,3
TX10386,2025-09-28,CUST1807,24,Male,Clothing,2,405.59,811.18,Cash,5
TX10618,2025-02-09,CUST1922,22,Male,Books,6,254.8,1528.8,PayPal,4
TX10434,2025-02-01,CUST1610,38,Male,Home & Kitchen,6,471.87,2831.22,Credit Card,2
TX10883,2025-10-21,CUST1002,39,Female,Clothing,6,316.0,1896.0,Credit Card,1
TX10112,2025-03-26,CUST1283,37,Male,Clothing,4,436.09,1744.36,PayPal,2
TX10653,2026-03-14,CUST1879,27,Male,Electronics,8,416.84,3334.72,Debit Card,1
TX10605,2025-03-01,CUST1148,41,Male,Clothing,6,382.15,2292.9,Credit Card,3
TX11009,2026-01-03,CUST1133,46,Unknown,Unknown,5,341.2,1706.0,PayPal,5
TX10068,2025-02-16,CUST1553,38,Female,Electronics,1,428.56,428.56,Credit Card,1
TX10845,2026-02-19,CUST1256,32,Male,Electronics,7,265.88,1861.16,Credit Card,3
TX10220,2025-08-30,CUST1817,59,Male,Clothing,8,393.93,3151.44,Debit Card,2
TX10851,2025-09-20,CUST1178,41,Female,Home & Kitchen,9,322.02,2898.18,PayPal,1
TX10863,2025-08-30,CUST1112,64,Female,Clothing,9,82.0,738.0,Unknown,1
TX10160,2025-10-14,CUST1676,48,Female,Clothing,10,154.26,1542.6,PayPal,3
TX10347,2025-12-11,CUST1887,46,Female,Books,1,254.8,254.8,Unknown,2
TX11062,2026-01-06,CUST1026,49,Male,Electronics,6,398.23,2389.38,Credit Card,2
TX11092,2025-07-22,CUST1134,29,Female,Clothing,8,263.02,2104.16,Credit Card,3
TX10544,2026-02-23,CUST1015,23,Female,Electronics,6,63.09,378.54,Cash,1
TX10945,2026-01-17,CUST1366,70,Male,Electronics,2,405.47,810.94,Debit Card,1
TX10048,2025-10-24,CUST1808,52,Unknown,Home & Kitchen,9,392.46,3532.14,Cash,3
TX10272,2025-01-24,CUST1807,64,Female,Clothing,9,220.64,1985.76,PayPal,4
TX10531,2025-06-26,CUST1243,22,Unknown,Books,9,480.71,4326.39,Cash,2
TX10529,2025-10-05,CUST1602,19,Male,Clothing,2,314.89,629.78,Credit Card,3
TX10738,2025-02-05,CUST1331,58,Male,Books,8,283.38,2267.04,Credit Card,3
TX11002,2025-01-17,CUST1016,55,Unknown,Books,4,323.72,1294.88,Cash,1
TX10168,2025-07-29,CUST1178,67,Female,Electronics,7,214.67,1502.69,Debit Card,3
TX10917,2026-01-29,CUST1271,20,Female,Books,8,324.55,2596.4,E-Wallet,3
TX10614,2026-01-28,CUST1053,52,Male,Home & Kitchen,3,115.79,347.37,Credit Card,4
TX11120,2025-07-11,CUST1129,52,Female,Books,2,497.4,994.8,Credit Card,5
TX10502,2025-08-18,CUST1759,67,Male,Clothing,10,307.3,3073.0,Credit Card,2
TX11036,2025-07-12,CUST1431,43,Male,Clothing,9,334.65,3011.85,Cash,3
TX10835,2025-08-30,CUST1538,67,Unknown,Electronics,7,328.59,2300.13,Debit Card,3
TX10715,2025-12-01,CUST1116,36,Male,Home & Kitchen,7,264.9,1854.3,Cash,2
TX10816,2025-03-02,CUST1763,50,Male,Books,1,284.97,284.97,Credit Card,2
TX10376,2025-10-03,CUST1065,43,Female,Electronics,7,411.2,2878.4,Debit Card,4
