Transaction_ID,Date,Customer_ID,Customer_Age,Customer_Gender,Product_Category,Quantity,Unit_Price,Total_Amount,Payment_Method,Customer_Rating
TX11094,30/12/2025,CUST1643,20.0,MALE,CLOTHES,1.0,54.6,,Debit Card,-5.0
TX10259,06-27-2025,CUST1099,18.0,M,Electronics,6.0,400.33,2401.98,Credit Card,14.0
TX10078,2026-03-10,CUST1925,68.0,Male,Reading Material,3.0,36.36,109.08,Debit Card,0.0
TX10002,09/05/2025,CUST1642,57.0,male,Electronics & Accessories,2.0,271.44,,CASH,2.0
TX10934,11-22-2025,CUST1661,50.0,Male,KITCHEN,7.0,284.43,1991.01,paypal,18.0
TX10426,03-06-2025,CUST1040,59.0,Unknown,Clothing,-2.0,328.33,-889.81,CASH,1.0
TX10473,2025-11-11,CUST1316,39.0,FEMALE,Clothing,1.0,410.19,410.19,paypal,1.0
TX10210,15/09/2025,CUST1807,21.0,male,books,3.0,98.1,294.3,Credit Card,5.0
TX10787,31/10/2025,CUST1451,47.0,FEMALE,Apparel,9.0,401.48,3613.32,Debit Card,3.0
TX11007,03-29-2025,CUST1034,67.0,F,Clothing,456.0,34.87,15900.72,PayPal,4.0
TX10007,2026-03-08,CUST1593,48.0,FEMALE,Clothing,7.0,276.4,1934.8,credit card,-5.0
TX10852,2026-02-27,CUST1373,41.0,M,Electronics,-3.0,274.11,-822.33,Debit Card,5.0
TX10622,2025-02-11,CUST1749,25.0,MALE,books,3.0,267.29,801.87,Credit Card,4.0
TX10009,11-25-2025,CUST1134,60.0,male,Electronics & Accessories,8.0,137.96,1103.68,CASH,5.0
TX10066,30/11/2025,CUST1092,39.0,M,ELEC,6.0,415.77,2494.62,E-Wallet,
TX10495,"January 28, 2026",CUST1931,58.0,Female,clothing,10.0,,,,4.0
TX10367,2025-11-13,CUST1302,157.0,Unknown,,7.0,78.46,549.22,Credit Card,1.0
TX10023,09-12-2025,CUST1334,41.0,MALE,ELEC,4.0,352.4,1409.6,Cash,
TX11148,11-25-2025,CUST1765,20.0,MALE,Electronics,3.0,82.43,,Credit Card,4.0
TX10790,05/09/2025,CUST1425,49.0,FEMALE,books,,216.84,,Cash,1.0
TX11142,"February 17, 2026",CUST1179,63.0,FEMALE,clothing,4.0,49.28,197.12,Debit Card,4.0
TX10560,"June 02, 2025",CUST1205,44.0,M,Clothing,5.0,235.84,1179.2,paypal,5.0
TX10492,2025-02-07,CUST1135,57.0,FEMALE,home,1.0,496.45,496.45,Credit Card,12.0
TX10632,2029-12-31,CUST1805,25.0,Unknown,Home,8.0,,,credit card,2.0
TX10009,"August 01, 2025",CUST1552,170.0,MALE,Electronics,10.0,23.39,233.9,,3.0
TX10090,,CUST1897,70.0,M,Clothing,,21.86,,PayPal,1.0
TX10731,24/06/2025,CUST1994,63.0,Unknown,electronics,8.0,24.87,198.96,PayPal,1.0
TX10352,06-10-2025,CUST1374,66.0,Unknown,clothing,2.0,381.2,762.4,Debit Card,-4.0
TX10575,01-11-2026,CUST1543,58.0,MALE,Electronics,6.0,297.06,1852.9,paypal,4.0
